Title,Description,Footer
Do I need a pre-authorisation number before treatment?,"### You don’t need one for: ###
- Digital GP appointments
- Prescribed medication
- Fit notes

### What you need one for: ###
Everything else, from blood tests to physio, counselling to surgery.

If you go ahead without pre-authorisation, you may need to pay the full cost.",
How do I get a pre-authorisation number?,"### If you have a referral ###
From your home screen, choose ‘Pre-authorisations’. There will be a button for you to request treatment, where you can start to get a pre-authorisation. 

Once you’ve completed the request form, you’ll hear back from us by email within 24 hours.

### If you don’t have a referral ###
How to get a pre-authorisation number depends on your symptoms.

If your health concern is listed below, select it to see next steps.","### Any other health concerns ###
You’ll need a GP referral before we can pre-authorise treatment. This is to make sure we’re approving the most suitable care."
How do I pre-authorise more treatment?,"You’ll need to get a new pre-authorisation number for your next stage of treatment. 

For example, if you need surgery following an appointment with a consultant. Or, if you’ve been for physio sessions and they recommend more. You would need a new pre-authorisation number before going ahead.

### To request a new pre-authorisation number: ###
1. Choose ‘Pre-authorisations’ on your My Bupa home screen. 
2. Where it says ‘Do I need a pre-auth’, there’s the option to request treatment.
3. Complete the request form and we'll email you within 24 hours. You'll get a pre-authorisation number or we'll explain why you're not covered.",
Where can I find my pre-authorisation number?,"We'll email your pre-authorisation number to you and add it your My Bupa app. If you turn on push notifications for the app, we’ll also let you know when it’s ready.

From your My Bupa home screen, go to ‘Pre-authorisations’.

Next, choose ‘View pre-authorisations’, then scroll to select the one you need.

### If your number isn’t there ###
- It can take up to one working day to appear.
- If we're reviewing a request or something isn't covered, this won't show in the app. We'll always contact you if something isn't covered to explain why.",
When will I get my pre-authorisation number?,"### If you’ve had a Bupa GP appointment ###
Most often, our team take a few hours to review each treatment request. Sometimes, it can take up to one working day. 

For example, we get your request at 2pm on Monday and we review it by 2pm on Tuesday.

If you’ve not had a number after one working day, [Contact us](app://getHelpFaqBottomsheet) and we’ll look into it for you.

### Not spoken to a Bupa GP? ###
Please [Contact us](app://getHelpFaqBottomsheet) instead.",
What does my pre-authorisation cover?,"Each pre-authorisation is different. We'll always confirm what it covers and who you can see.

To view these, go to ‘Pre-authorisations’ from your My Bupa home screen. 

Choose ‘View pre-authorisations’, then scroll to select the one you’d like details for. 

Sometimes, you may see the phrase ‘minor diagnostic tests’. These are fairly quick tests such as X-rays, blood tests and ultrasounds. ",
What do minor diagnostics tests include and exclude?,"Minor diagnostic tests are tests to help your consultant understand acute symptoms.

Acute symptoms are those likely to respond to treatment quickly. 

### Examples of minor diagnostics: ###
- X-rays
- blood tests
- ultrasounds 

### What isn’t a minor diagnostic? ###
- Scans such as an MRI or a CT scan
- Admission to hospital or an overnight stay
- Any type of procedure, from simple injections to surgery
- A referral to see a different consultant or therapist

[View the full list](https://www.bupa.co.uk/~/media/Files/MMS/MMS-hosting/bins-06499) of what is and isn’t included online. ",
How long is my pre-authorisation number valid?,"Your number is valid for nine months.
 
If your symptoms have changed since you got pre-authorisation, we suggest getting a new number. This is because we may suggest different treatment or tests to investigate your current symptoms.",
Do I need a GP referral?,"Not always.

### Some health concerns don’t need a GP referral. ###

If your concern is listed, select it to see next steps.","### Any other health concerns ###
You'll need to speak to a GP about your symptoms so they can decide what type of specialist or tests you need next.

### Already for got a referral but not from a GP? ###
That’s okay, we accept lots of different referrals. We list all the ones we accept online.

[Check your type of referral](https://www.bupa.co.uk/health/health-insurance/medical-referrals)"
What information do I need if I get an NHS GP referral?,"Please ask for an open referral letter. 

This means the GP will decide what type of care or treatment they recommend, but it won’t specify who with or where. The referral is open. 

### Why this is important ###
- We need to check you’re covered before you see someone.
- We can give you a choice of people or places that are Bupa recognised. This means they meet our standards of customer experience and care. Plus, their fees are taken care of by your cover.",
Where can I find my referral?,"We'll send you an email when it's ready. This can take up to six hours.

Your email will include a link to a portal where you’ll verify your phone number using a code we text to your phone.

Once you’re verified, you’ll be able to download your referral letter.

### Not arrived within six hours? ###
1. Check your junk email, just in case.
2. If you get cover through your work, check if it’s been sent to your work email. If it has and you’d prefer to use your personal email in future, [contact us](app://getHelpFaqBottomsheet).
3. We’ll need to investigate for you. [Contact us](app://getHelpFaqBottomsheet) and we’ll get started.",
What do I do with my GP referral?,"Once you have a referral, you’ll need a pre-authorisation number. This is to make sure you’re covered for what’s being recommended.

For next steps, please choose who you got your referral from.","### Not sure who you got it from? ###
If you had a Bupa digital appointment, you can check your appointment history. 

From your home screen, go to ‘Treatment and care’ and then ‘Manage appointments. You can view past appointments here. 

If you had any other appointment type, please [contact us](app://getHelpFaqBottomsheet)."
Referrals from a Bupa digital GP,"You don’t need to do anything. 

One of our team will review your referral and check you’re covered. 

We’ll email you within one working day with a pre-authorisation number or to explain why you’re not covered. Sometimes, we may ask for more information before making a decision.",
Referrals from a Bupa mental health nurse,"You need to tell us about your referral. 

This is so we can check your cover and create a pre-authorisation. 

The easiest way to request a consultation, tests or treatment is in My Bupa. From your home screen, choose ‘Pre-authorisations’. There will be a button for you to request treatment, which starts the process of getting a pre-authorisation. 

Once you’ve completed the request form, we'll email you within one working day. We may send a pre-authorisation number, ask for more information or explain why you’re not covered.",
Referrals from a Bupa advanced nurse practioner,"You don’t need to do anything. 

One of our team will review your referral and check you’re covered. 

We’ll email you within one working day with a pre-authorisation number or to explain why you’re not covered. Sometimes, we may ask for more information before making a decision.",
Referrals from a physiotherapist,"### If you spoke to a physio by booking a digital appointment ###

You don’t need to do anything. 

One of our team will review your referral and check you’re covered. 

We’ll email you within one working day with a pre-authorisation number or to explain why you’re not covered. Sometimes we may ask for more information before making a decision.

### If we booked you in with an advanced physio practitioner ###

You need to tell us about your referral. 

This is so we can check your cover and create a pre-authorisation. 

The easiest way to request a consultation, tests or treatment is in My Bupa. From your home screen, choose ‘Pre-authorisations’. There will be a button for you to request treatment, which starts the process of getting a pre-authorisation. 

Once you’ve completed the request form, we'll email you within one working day. We may send a pre-authorisation number, ask for more information or explain why you’re not covered.",
Referrals from a Bupa health assessment,"You need to tell us about your referral. 

This is so we can check your cover and create a pre-authorisation. 

The easiest way to request a consultation, tests or treatment is in My Bupa. From your home screen, choose ‘Pre-authorisations’. There will be a button for you to request treatment, which starts the process of getting a pre-authorisation. 

Once you’ve completed the request form, we'll email you within one working day. We may send a pre-authorisation number, ask for more information or explain why you’re not covered.",
Referrals from the NHS,"You need to tell us about your referral. 

This is so we can check your cover and create a pre-authorisation. 

The easiest way to request a consultation, tests or treatment is in My Bupa. From your home screen, choose ‘Pre-authorisations’. There will be a button for you to request treatment, which starts the process of getting a pre-authorisation. 

Once you’ve completed the request form, we'll email you within one working day. We may send a pre-authorisation number, ask for more information or explain why you’re not covered.",
Referrals from other professionals,"We accept a range of referrals, but it’s best to check we accept the one you have first.

[Check your type of referral](https://www.bupa.co.uk/health/health-insurance/medical-referrals)

If we accept your type of referral, your next step is to get a pre-authorisation number.

From your home screen, choose ‘Pre-authorisations’. There will be a button for you to request treatment, which starts the process of getting a pre-authorisation. 

Once you’ve completed the request form, we'll email you within one working day. We may send a pre-authorisation number, ask for more information or explain why you’re not covered.",
When will I get my GP referral?,"It can take up to six hours, but it’s often sooner.

### Not arrived within six hours? ###
1. Check your junk email, just in case.
2. If you get cover through your work, check if it’s been sent to your work email. If it has and you’d prefer to use your personal email in future, [contact us](app://getHelpFaqBottomsheet).
 3. [Contact us](app://getHelpFaqBottomsheet) and we’ll look into where your referral is.",
How can I get a referral to see a specialist?,"Sometimes you’ll need a GP referral, but for some health concerns you can skip that part. It all depends on your symptoms. 

If your health concern is listed, select it to see next steps. ","### Any other health concerns ###
You’ll need to speak to a GP first so they can discuss your symptoms and decide what type of tests or specialist you need to see. "
Can I use a referral that’s not from a GP?,"We accept lots of different referrals, so it doesn’t always need to be from a GP. 

Check the [full list of referrals](https://www.bupa.co.uk/health/health-insurance/medical-referrals) we accept online.",
Do I need to pay for consultations?,"Sometimes. It depends on your type of cover and if you have a benefit allowance, excess or co-pay.

### If you have a benefit allowance ###
This is how much you’re covered for in a year for different types of consultations or treatment.

### If you have any excess left ###
You’ll need to pay this towards your consultation cost. We’ll pay the rest up to your benefit allowance.

### If you have no excess ###
We’ll cover the full cost of your consultation up to your benefit allowance.

### If your cover renewal date is coming up ###
When renewing, your excess resets. This happens on the same date you got your cover. 

If your consultation takes place after renewal, you’ll be asked to pay your excess again. This may cover all or some of the costs of your consultation. If it only covers part, we’ll pay the rest up to your benefit allowance.

### If you have a co-pay ###
This is when you pay a percentage of your treatment cost, up to a total amount each year. We’ll pay the rest up to your benefit allowance.

### Important information ###
Checking your documents can help you understand your cover more. 

For example, if your cover includes a set number of consultations within six months, we’ll tell you. 

To find your documents, go to your My Bupa home screen and scroll down. Next, choose ‘Documents’.",
How can I find an authorised consultant?,"We’ll give you a choice of  consultants, so you don’t need to search. 

### Where to see your options ###
- Your pre-authorisation email
- My Bupa. Go to ‘Pre-authorisations’ and choose the relevant one.

If you already have a consultant in mind or you’d like to look at all consultants, you can use our [finder search tool](https://www.finder.bupa.co.uk/).

Once you’ve checked their profile, you’ll need to speak to us to get a pre-authorisation number. 

If you book an appointment with them before getting a code, you may not be covered. This means you would need to pay for the appointment yourself.",
How do I choose a consultant?,"When you get a pre-authorisation number, we’ll include the names of some specialists. You’re approved to see any of them. 

Select each name to view their profile. This will tell you more about them and explain how to book an appointment.

### Where to see your options ###
- Your pre-authorisation email
- My Bupa. Go to ‘Pre-authorisations’ and choose the relevant one.",
What should I do if I can't get a consultant appointment?,"If all the consultants we offered you have busy calendars, we can send you more options. 

To request more options, please [contact us](app://getHelpFaqBottomsheet).",
How do I book a digital GP appointment?,"From your My Bupa home screen, you’ll see an option for ‘Treatment and care’. 

Next, you can ‘Book a digital appointment’. 

### If it’s for you ###
First we’ll ask about your symptoms. This is so we can recommend an appointment with either a GP, nurse, physio or mental health specialist. Then you can choose an appointment time. 

### If it’s for a child ###
For children under 16, only the main member or beneficiary on your cover can book for them. 

Children aged 16 or over will need to create their own account to book.",
Can I choose the gender of the person I speak to?,"When booking your digital appointment, we’ll ask you if you have a preference. 

You can then choose male or female and we’ll only show you available appointments that match your preference.",
Will I always speak to a GP when booking a digital appointment?,"Not always. That's because we want to guide you to the most appropriate source of support as quickly as possible.

Depending on your symptoms, we can direct you to a GP, advanced nurse practitioner, physio or mental health specialist. ",
Can I book a digital appointment for an emergency?,"Please call 999 for urgent medical needs rather than booking an appointment. 

### Urgent medical needs ###
- Chest pain
- Severe bleeding
- Severe difficulty breathing (shortness of breath)
- Sudden, severe pain 
- Moderate or severe burns
- Convulsions or seizures
- A sudden change in mental status (such as unusual behaviour, confusion or difficulty waking from sleep)
- If you have harmed yourself or have plans to end your life
- Head or spinal injuries
- Broken bones",
How do I change or cancel my digital appointment?,"In the My Bupa app, go to ‘Treatment’ in the bottom menu. 

From here, you can manage your appointments.

Choose the appointment you’d like to cancel, then if you’d like a new time, you just need to book a new appointment.",
How do I join my digital appointment?,"Go to your My Bupa home screen five minutes before your appointment to join.

Once you’ve joined, the GP or healthcare professional can join too. 

### Audio calls ###
We’ll ask you to verify your address. 

### Video calls ###
When booking your appointment, you get the option to verify your ID.

If you chose to skip, we’ll need to verify your ID when you join your first video call. You’ll need either your passport, driver’s license or residence permit. 

We won’t ask for it again before any future video calls.",
How does a private prescription work?,"After you’ve had a Bupa digital GP appointment, we’ll email you with a prescription ID the same or next working day.

We work with a company called SignatureRX who will use this ID to let pharmacies know what medication you need.

The email will give you two choices, collection or delivery.

### If you choose collection ###
Your email includes a pharmacy locator. Not every pharmacy accepts SignatureRX prescriptions, so please check the list first.

### If you choose delivery ###
You’ll get a second email with a payment link, usually within two hours.

Once paid, your medication will usually be delivered within 48 hours. If you live in London, you can get same day delivery if your request is before 4pm, Monday to Friday, or before 12pm on weekends.",
Do I need to pay for a private prescription?,"You will need to pay for the medication listed on your prescription.

Medication costs vary by medicine and by the pharmacy who dispenses it, it’s not a flat fee like in the NHS

### If you want to collect your prescription ###
The pharmacy will tell you the cost.

### If you want your prescription delivered ###
The cost of your medication and delivery will be shown before you pay.",
Where can I find my prescription?,"We’ll send you an email when it’s ready. This can take up to one working day.

### Not arrived within one working day? ###
1. Check your junk email, just in case.
2. If you get cover through work, check if it’s been sent to your work email. If it has and you’d prefer to use your personal email in future, [contact us](app://getHelpFaqBottomsheet).
3. We’ll need to investigate for you. [Contact us](app://getHelpFaqBottomsheet) and we’ll get started.",
Where can I find my fit note?,"We’ll send you an email when it’s ready. This can take up to one working day.

Your email will include a link to a portal where you’ll be asked to verify your phone number. To do this, you’ll be sent a code by SMS to your phone.

Once you’re verified, you’ll be able to download your fit note.

### Not arrived within one working day? ###
1. Check your junk email, just in case.
2. If you get cover through work, check if it’s been sent to your work email. If it has and you’d prefer to use your personal email in future, [contact us](app://getHelpFaqBottomsheet).
3. We’ll need to investigate for you. [Contact us](app://getHelpFaqBottomsheet) and we’ll get started.",
Do I need a GP referral?,"Not always.

### Some health concerns don’t need a GP referral. ###

If your concern is listed, select it to see next steps.","### Any other health concerns ###
You'll need to speak to a GP about your symptoms so they can decide what type of specialist or tests you need next.

### Already for got a referral but not from a GP? ###
That’s okay, we accept lots of different referrals. We list all the ones we accept online.

[Check your type of referral](https://www.bupa.co.uk/health/health-insurance/medical-referrals)"
What information do I need if I get an NHS GP referral?,"Please ask for an open referral letter. 

This means the GP will decide what type of care or treatment they recommend, but it won’t specify who with or where. The referral is open. 

### Why this is important ###
- We need to check you’re covered before you see someone.
- We can give you a choice of people or places that are Bupa recognised. This means they meet our standards of customer experience and care. Plus, their fees are taken care of by your cover.",
Where can I find my referral?,"We'll send you an email when it's ready. This can take up to six hours.

Your email will include a link to a portal where you’ll verify your phone number using a code we text to your phone.

Once you’re verified, you’ll be able to download your referral letter.

### Not arrived within six hours? ###
1. Check your junk email, just in case.
2. If you get cover through your work, check if it’s been sent to your work email. If it has and you’d prefer to use your personal email in future, [contact us](app://getHelpFaqBottomsheet).
3. We’ll need to investigate for you. [Contact us](app://getHelpFaqBottomsheet) and we’ll get started.",
What do I do with my referral?,"Once you have a referral, you’ll need a pre-authorisation number. This is to make sure you’re covered for what’s being recommended.

For next steps, please choose who you got your referral from.","### Not sure who you got it from? ###
If you had a Bupa digital appointment, you can check your appointment history. 

From your home screen, go to ‘Treatment and care’ and then ‘Manage appointments. You can view past appointments here. 

If you had any other appointment type, please [contact us](app://getHelpFaqBottomsheet)."
When will I get my GP referral?,"It can take up to six hours, but it’s often sooner.

### Not arrived within six hours? ###
1. Check your junk email, just in case.
2. If you get cover through your work, check if it’s been sent to your work email. If it has and you’d prefer to use your personal email in future, [contact us](app://getHelpFaqBottomsheet).
 3. [Contact us](app://getHelpFaqBottomsheet) and we’ll look into where your referral is.",
How can I get a referral to see a specialist?,"Sometimes you’ll need a GP referral, but for some health concerns you can skip that part. It all depends on your symptoms. 

If your health concern is listed, select it to see next steps. ","### Any other health concerns ###
You’ll need to speak to a GP first so they can discuss your symptoms and decide what type of tests or specialist you need to see. "
Can I use a referral that’s not from a GP?,"We accept lots of different referrals, so it doesn’t always need to be from a GP. 

Check the [full list of referrals](https://www.bupa.co.uk/health/health-insurance/medical-referrals) we accept online.",
What is a claim?,"A claim is something we set up for you once we've received a bill for any pre-authorised  treatment you’ve had.

We'll pay the bill and let you know if there's anything you need to pay.",
How do I make a claim?,"So you can focus on getting help for your health, we don’t ask you to set up a claim. 

You’ll book your appointments and we’ll take care of processing your claim once you’ve had treatment.

### How it works ###
1. Book your first appointment, usually this is with a GP. [Check if you need to speak to one first](app://faqDetails/A5860D3E35B9483387D94B967676317B).
2. You’re referred to see a specialist or for tests if you need them.
3. We’ll either get your referral direct from a Bupa digital GP, or if you got a referral elsewhere, you can request treatment. 
4. We’ll check if you’re covered and give you a pre-authorisation number.
5. We'll send you a list of specialists or places to have tests or treatment. Choose one and contact them to make your appointment.
6. Once you’ve had a consultation, tests or treatment, we’ll set up your claim.
7. We’ll get sent an invoice from the specialist or place you visited. We'll pay them and let you know if there's anything you need to pay.",
What counts as a claim?,"A claim is only made when you’ve had pre-authorised consultation, tests or treatment.

### Not counted as a claim: ###
- Bupa digital appointments
- Anytime HealthLine
- Family Mental HealthLine
- [Direct Access](https://www.bupa.co.uk/health/health-insurance/speak-to-a-specialist) appointments

### Claim examples: ###
- Consultations with a specialist
- Scans, blood tests or X-rays
- Procedures such as injections or surgery
- Physio sessions
- Therapy sessions
- Cancer care
- Cash benefits, such as NHS or optical",
Where can I find my claim invoice?,"From your My Bupa home screen, go to ‘Claims’. 

Here you’ll see how much Bupa has paid and how much you need to pay, if anything.",
Why have I been asked to pay?,"There are three possible reasons:

### Excess ###
Many people have an excess. This is the amount you’ll be asked to contribute towards tests, consultations or treatment within a year. 

[How to check your excess](app://faqDetails/41A4D9A44CA74E3B8905A858C36FDBEB)

### Co-pay ### 
Some people who get cover through work have a co-pay. This is when you pay a percentage of your treatment cost, up to a total amount each year.
 
[How co-pay works](app://faqDetails/65B6A9B9134B4209A932039F135813BC)

### Benefit allowance ###
Some people have a benefit allowance. This means there’s a cap on how much Bupa will pay in a year for different types of treatment. Not every treatment has an allowance. 

### An example: ###

Consultations - paid in full. This means there’s no benefit allowance. 

Outpatient therapy, such as physio – up to £500. This means there is a benefit allowance. If it costs more, you’ll be asked to pay the rest.

[How to check your benefit allowance](app://faqDetails/EE348F7B211D498A93681A55F1BE1D56)",
Why is the app still showing I need to pay a claim after I’ve paid?,"When we say ‘You pay’ in the claims area of the app, this is to show your contribution amount. It’s not a demand for payment. 

Because you pay the health facility or consultant directly, only they will follow up with you if payment hasn’t been made. 

If you’ve already paid, there’s nothing left for you to do.",
What’s my excess?,"Your excess total is listed in your certificate. 

To find this document, go into My Bupa and scroll down on the home screen. 

You’ll see an option labelled ‘Documents’. From here, you can view or download your certificate. 

You may see ‘co-pay’ instead of excess if you get cover through work, which works in a similar way to excess.

### If you are on someone else’s cover: ###
To check your excess total, you’ll need to ask them to look on their account for you.",
What is co-pay?,"Co-pay is when you pay a percentage of your treatment cost, up to a total amount each year. 

### For example: ###
10% co-pay. Max £100 in a year.

That means if you have a consultation that costs £200, you’ll pay 10%, which is £20. 

£100 max total - £20 co-pay = £80 left. 

When you next have to contribute to treatment costs, it will be no more than £80.

### Check if you have a co-pay ###
Go to your My Bupa home screen and scroll down. Next, choose ‘Documents’. 

From here, you can view or download your  certificate which will include details of a co-pay, if you have one.

If you’re on someone else’s cover, you’ll need to ask them to look on their account for you.",
How do I pay my excess or co-pay?,"You’ll never pay Bupa directly. We’ll advise you on how to pay the consultant or facility. 

### How it works ###
1. We’ll set up a ‘claim’, which is our way of documenting any authorised tests or treatment you’ve had. 
2. You’ll get a notification to view your new claim in My Bupa. 
3. From your My Bupa home screen, go to ‘Claims’. Here you’ll see how much Bupa have paid and how much you need to pay, if any. 
4. Select your latest claim and scroll to the bottom. Attached will be a claims advice document detailing how to contact your consultant or the facility to pay your excess or co-pay. ",
Do I need to pay for consultations?,"Sometimes. It depends on your type of cover and if you have a benefit allowance, excess or co-pay.

### If you have a benefit allowance ###
This is how much you’re covered for in a year for different types of consultations or treatment.

### If you have any excess left ###
You’ll need to pay this towards your consultation cost. We’ll pay the rest up to your benefit allowance.

### If you have no excess ###
We’ll cover the full cost of your consultation up to your benefit allowance.

### If your cover renewal date is coming up ###
When renewing, your excess resets. This happens on the same date you got your cover. 

If your consultation takes place after renewal, you’ll be asked to pay your excess again. This may cover all or some of the costs of your consultation. If it only covers part, we’ll pay the rest up to your benefit allowance.

### If you have a co-pay ###
This is when you pay a percentage of your treatment cost, up to a total amount each year. We’ll pay the rest up to your benefit allowance.

### Important information ###
Checking your documents can help you understand your cover more. 

For example, if your cover includes a set number of consultations within six months, we’ll tell you. 

To find your documents, go to your My Bupa home screen and scroll down. Next, choose ‘Documents’.",
How do I claim my cash benefits?,"What we need from you depends on the type of cash benefit. 

Choose which cash benefit you’d like help with for next steps. ",
How to claim your accidental dental cash benefit,"To help you, we’ll need a photo or copy of any invoices or receipts for your treatment. Please include your name and membership number.

Your treatment must have been for an injury caused by external impact, such as falling or a non-contact sport. We also ask that treatment started within six months of your injury and is completed within six years. 

### Where to send your info ###
Please email your invoices or receipts to bupamemberservices@bupa.com or post them to Bupa Claims, Bupa Place, 102 The Quays, Salford M50 3SP.

### Next steps ###
Once we have them, we’ll check your cover and reach out by text to let you know the outcome. ",
How to claim your cancer cash benefit,"Our dedicated oncology team can help you. Please call them on [0345 850 0465](phone://03458500465) when you’re ready.

Lines are open 8am to 8pm, Monday to Friday, 8am to 4pm on Saturdays. We may record or monitor our phone calls. ",
How to claim your family cash benefit,"To help you, we’ll need a photo or copy of your child’s birth or adoption certificate. Please include your name and membership number too.

### Where to send your info ###
Please email your invoices or receipts to bupamemberservices@bupa.com or post them to Bupa Claims, Bupa Place, 102 The Quays, Salford M50 3SP.

### Next steps ###
Once we have it, we’ll check your cover and reach out by text to let you know the outcome. ",
How to claim your NHS cash benefit,"To help you, we’ll need your name and membership number. You can find this in My Bupa in the ‘Account’ section. 

We’ll also need a photo or copy of your hospital discharge letter. Please check it includes the date you were admitted and discharged, your health condition, any treatment and the consultant’s name.

### Where to send your info ###
Please email it to bupamemberservices@bupa.com or post it to Bupa Claims, Bupa Place, 102 The Quays, Salford M50 3SP.

### Next steps ###
Once we have it, we’ll check that it’s for an eligible condition and included with your cover. We’ll reach out by text to let you know the outcome.
",
How to claim your optical cash benefit,"To help you, we’ll need a photo or copy of your receipt on headed paper from the eye specialist you visited. The paper should also include the specialist’s full name, membership number and address.

### Where to send your info ###
Please email your invoices or receipts to bupamemberservices@bupa.com or post them to Bupa Claims, Bupa Place, 102 The Quays, Salford M50 3SP.

### Next steps ###
Once we have them, we’ll check your cover and reach out by text to let you know the outcome. ",
How to claim your prescription cash benefit,"To help you, we’ll need a photo of your invoice of receipt. This needs to show the cost and where you got the prescription from.

### Where to send your info ###
Please email this to us at 
bupamemberservices@bupa.com or post it to Bupa Claims, Bupa Place, 102 The Quays, Salford M50 3SP.

### Next steps ###
Once we have it, we’ll check your cover and reach out by text to let you know the outcome. ",
What does the optical cash benefit cover?,"### You can claim money back for: ###
- Routine eye tests
- Prescription glasses
- Prescription contact lenses
- Corrective laser treatment

### Not sure you have this benefit? ###
Check your guide first. To find this, go to My Bupa home screen and scroll to ‘Documents’. You can view and download it to check your benefit table.",
What does the dental cash benefit cover?,"### You can claim money back for: ###
- General dental treatment, such as check-ups, cleans, X-rays, fillings, crowns and gum disease treatment
- Emergency treatment due to severe pain or not being able to eat
- Treatment for a dental injury that meant you had so stay overnight in a UK hospital

### Not sure you have this benefit? ###
Check your guide first. To find this, go to My Bupa home screen and scroll to ‘Documents’. You can view and download it to check your benefit table.",
What do I need to make a dental claim?,"If you visit a Bupa dental practice, they offer ‘instant claim’. This means they’ll sort your claim for you on the day. 

To submit a claim from a different dental practice, choose the type of treatment you’ve had for next steps:","### Had more than one treatment? ###
You’ll need to claim for each one individually. 

### Paid a deposit? ###
Sometimes, your dentist may ask for a deposit before you have treatment. You can only claim this back after treatment. To do so, choose the relevant treatment type.
"
Making a claim for preventative treatment,"### You can claim for: ###
- New patient examination
- Routine examination
- Scale and polish
- X-ray

### You’ll need a receipt that has: ###
- Your name
- The type of treatment you’ve had
- Your treatment date
- The cost of each treatment
- Proof that you’ve paid
- Dental practice name and postcode  

If the information you send is incomplete or unreadable, it may delay your claim, or we may not be able to pay it.

### How to claim ###
From your My Bupa home screen, go to ‘Account’ in the menu at the bottom. Next, choose ‘Dental cover’ and then ‘Make a dental claim’.",
Making a claim for restorative treatment,"### You can claim for: ###
- Fillings, including fissure sealant and topical flouride
- Root canal treatment
- Inlay or onlay
- Crowns, bridges or dentures
- Veneers
- Extractions
- Implants
- Mouthguards 
- Periodontal treatment for gum disease
- Oral surgery

### For fillings, you’ll need: ###
- A copy of your invoice or receipt

### For other restorative treatment, you’ll need a receipt that has: ###
- Your name
- The type of treatment you’ve had
- Your treatment date
- The cost of each treatment
- Proof that you’ve paid
- Dental practice name, address and postcode 

If the information you send is incomplete or unreadable, it may delay your claim, or we may not be able to pay it.

### We may also ask you for: ###
- X-rays or photos of your teeth, before and after treatment 
- Tooth number, known as the ‘tooth notion’, which your dentist can tell you
- Your dentist’s full clinical notes
- When your tooth was removed if you had an implant, bridge or dentures

### How to claim ###
From your My Bupa home screen, go to ‘Account’ in the menu at the bottom. Next, choose ‘Dental cover’ and then ‘Make a dental claim’.",
